index,city,state,zip_code
616,Providence,Rhode Island,2909
617,Pawtucket,Rhode Island,2860
618,Central Falls,Rhode Island,2863
619,Providence,Rhode Island,2908
620,Providence,Rhode Island,2907
621,Woonsocket,Rhode Island,2895
622,Central Falls,Rhode Island,2863
623,Providence,Rhode Island,2905
624,Warwick,Rhode Island,2889
625,Woonsocket,Rhode Island,2895
626,Providence,Rhode Island,2909
627,Woonsocket,Rhode Island,2895
628,North Providence,Rhode Island,2904
629,Providence,Rhode Island,2905
630,Lincoln,Rhode Island,2865
631,Warren,Rhode Island,2885
632,Warren,Rhode Island,2885
633,Cranston,Rhode Island,2920
634,Woonsocket,Rhode Island,2895
635,Providence,Rhode Island,2909
636,Central Falls,Rhode Island,2863
637,Providence,Rhode Island,2905
638,Providence,Rhode Island,2909
639,Providence,Rhode Island,2907
640,Pawtucket,Rhode Island,2861
641,Johnston,Rhode Island,2919
642,Providence,Rhode Island,2909
643,Providence,Rhode Island,2909
644,Pawtucket,Rhode Island,2860
645,Providence,Rhode Island,2909
646,Pawtucket,Rhode Island,2860
647,Central Falls,Rhode Island,2863
648,Providence,Rhode Island,2908
649,Providence,Rhode Island,2907
650,Central Falls,Rhode Island,2863
651,Providence,Rhode Island,2905
652,Warwick,Rhode Island,2889
653,Providence,Rhode Island,2909
654,Providence,Rhode Island,2907
655,North Providence,Rhode Island,2904
656,Providence,Rhode Island,2905
657,Lincoln,Rhode Island,2865
658,Warren,Rhode Island,2885
659,Warren,Rhode Island,2885
660,Cranston,Rhode Island,2920
661,Providence,Rhode Island,2905
662,Providence,Rhode Island,2909
663,Providence,Rhode Island,2907
664,Johnston,Rhode Island,2919
665,Providence,Rhode Island,2909
666,Providence,Rhode Island,2909
667,Providence,Rhode Island,2909
668,Providence,Rhode Island,2908
669,Providence,Rhode Island,2907
670,Providence,Rhode Island,2905
671,Providence,Rhode Island,2909
672,Providence,Rhode Island,2905
673,Cranston,Rhode Island,2920
674,North Providence,Rhode Island,2904
675,Lincoln,Rhode Island,2865
676,Woonsocket,Rhode Island,2895
677,Woonsocket,Rhode Island,2895
