index,bed,bath,acre_lot,zip_code,house_size,price
12335,3,3,0.87,2852,2545,629900
12336,3,3,0.52,2813,1560,460000
12337,3,3,1.84,2921,3557,799444
12338,3,3,0.46,2814,1184,469900
12339,3,3,1.84,2832,2048,479900
12340,3,3,0.27,2891,1584,299900
12341,3,3,1.02,2817,2058,489900
12342,3,3,1.77,2804,2688,519000
12343,3,3,0.46,2921,1824,549900
12344,3,3,2.04,2816,1369,499900
12345,3,3,,2818,1529,475000
12346,3,3,5.05,2892,2184,599900
12347,3,3,0.17,2893,1550,309900
12348,3,3,0.24,2893,1456,375000
12349,3,3,0.16,2879,1482,545000
12350,3,3,0.46,2891,1458,445000
12351,3,3,2.06,2898,2130,599900
12352,3,3,2.1,2898,2212,619900
12353,3,3,2.03,2898,2212,619900
12354,3,3,,2903,1629,689000
12355,3,3,0.56,2891,2000,875000
12356,3,3,0.16,2882,1980,949500
12357,3,3,0.12,2891,2628,1400000
12358,3,3,0.55,2817,2444,599000
12359,3,3,0.59,2891,1979,599000
12360,3,3,0.53,2852,1731,570000
12361,3,3,0.24,2893,1032,389900
12362,3,3,0.29,2832,1672,339000
12363,3,3,18817,2882,1532,250000
12364,3,3,5.81,2816,1926,649900
12365,3,3,0.69,2818,2655,675000
12366,3,3,0.53,2852,1993,550000
12367,3,3,2.8,2892,3380,1500000
12368,3,3,0.5,2816,1872,399000
12369,3,3,0.34,2808,1496,450000
12370,3,3,1.1,2836,1824,499900
12371,3,3,6.29,2825,2320,649000
12372,3,3,0.77,2921,2106,550000
12373,3,3,2.53,2813,1734,639000
12374,3,3,2.02,2827,2184,499900
12375,3,3,1.9,2886,1704,475000
12376,3,3,1.65,2832,2128,499900
12377,3,3,4.2,2825,1266,399000
12378,3,3,0.28,2852,1944,749900
12379,3,3,4.38,2817,2250,600000
12380,3,3,3.34,2891,2192,549000
12381,3,3,0.58,2879,4302,840000
12382,3,3,2.13,2817,2120,779900
12383,3,3,0.74,2879,2212,989900
12384,3,3,1.97,2816,1800,599000
12385,3,3,0.11,2818,2472,699900
12386,3,3,0.7,2816,2380,599000
12387,3,3,2.76,2892,2176,1750000
12388,3,3,,2898,1530,329900
12389,3,3,0.18,2893,1098,389000
12390,3,3,0.32,2893,1332,379000
12391,3,3,0.09,2905,1658,239900
